id,date,no,jenis,ukuran,is_statue,omset,ongkir,total,hpp,filament_grams,filament_kg,filament_cost,patung,n12,c12,f12,n15,c15,f15,sn12,sc12,sf12,sn15,sc15,sf15,notes
1,2026-06-05,01,family set,15cm,False,309000,15000,324000,155941,540,0.54,85320,3,0,0,0,0,0,3,0,0,0,0,0,0,family set default 3 figur
2,2026-06-05,02,single(anabul),12 cm,False,159000,30000,189000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
3,2026-06-05,03,single,15cm,False,170000,15000,185000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
4,2026-06-05,03,single wisuda anak,12cm,False,159000,26000,185000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
5,2026-06-06,01,single,12cm,False,159000,10000,169000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
6,2026-06-06,02,single wisuda,15cm,False,170000,26000,196000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
7,2026-06-06,03,single,12cm,False,159000,40000,199000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
8,2026-06-07,01,single,15cm,False,340000,31000,371000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,harga tinggi tapi jenis single; cek manual
9,2026-06-07,02,single,15cm,False,170000,26000,196000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
10,2026-06-07,03,-,15cm,False,170000,10000,180000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
11,2026-06-08,01,-,15cm,False,170000,27000,197000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
12,2026-06-07,02,single wisuda anak,12cm,False,159000,0,159000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
13,2026-06-08,03,couple,15cm,False,269000,30000,299000,104481,300,0.3,47400,2,0,0,0,0,2,0,0,0,0,0,0,0,
14,2026-06-09,01,single,12cm,False,159000,26000,185000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
15,2026-06-09,02,single,15cm,False,170000,30000,200000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
16,2026-06-10,01,single wisuda,15cm,False,170000,30000,200000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
17,2026-06-10,02,single,15cm,False,170000,25000,195000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
18,2026-06-10,02,single,15cm,False,170000,26000,196000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
19,2026-06-11,01,single,15cm,False,170000,26000,196000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
20,2026-06-11,02,couple,15cm,False,269000,26000,295000,104481,300,0.3,47400,2,0,0,0,0,2,0,0,0,0,0,0,0,
21,2026-06-11,03,singel,12cm,False,159000,31000,190000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
22,2026-06-12,01,single,15cm,False,169000,26000,195000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
23,2026-06-12,02,couple,15cm,False,269000,26000,295000,104481,300,0.3,47400,2,0,0,0,0,2,0,0,0,0,0,0,0,
24,2026-06-12,03,single,15cm,False,170000,26000,196000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
25,2026-06-12,04,couple,15cm,False,269000,26000,295000,104481,300,0.3,47400,2,0,0,0,0,2,0,0,0,0,0,0,0,
26,2026-06-13,01,Single,12cm,False,159000,26000,185000,38820,100,0.1,15800,1,1,0,0,0,0,0,0,0,0,0,0,0,
27,2026-06-13,02,Single,15cm,False,170000,30000,200000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
28,2026-06-13,03,Single,15cm,False,170000,25000,195000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
29,2026-06-13,04,Single,15cm,False,260000,25000,285000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
30,2026-06-13,05,2 patung couple,12cm,False,498000,30000,528000,103440,300,0.3,47400,2,0,2,0,0,0,0,0,0,0,0,0,0,
31,2026-06-13,01,single,15cm marmer,True,249000,26000,275000,29340,100,0.1,15800,1,0,0,0,0,0,0,0,0,0,1,0,0,statue: painter 0
32,2026-06-14,01,Single,15cm,False,170000,25000,195000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
33,2026-06-14,02,couple,15cm,True,249000,26000,275000,74481,300,0.3,47400,2,0,0,0,0,0,0,0,0,0,0,2,0,statue: painter 0
34,2026-06-14,03,2 Patung single,12cm,False,318000,27000,345000,77640,200,0.2,31600,2,2,0,0,0,0,0,0,0,0,0,0,0,
35,2026-06-14,04,1 Patung couple,15cm,True,548000,25000,573000,200422,840,0.84,132720,5,0,0,0,0,0,0,0,0,0,0,2,3,family default 3 figur; statue: painter 0
36,2026-06-15,01,couple,15cm,False,269000,26000,295000,104481,300,0.3,47400,2,0,0,0,0,2,0,0,0,0,0,0,0,
37,2026-06-15,02,single,15cm,False,170000,25000,195000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
38,2026-06-15,03,single,15cm,False,170000,25000,195000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
39,2026-06-15,04,single,15cm,True,160000,25000,185000,29340,100,0.1,15800,1,0,0,0,0,0,0,0,0,0,1,0,0,statue: painter 0
40,2026-06-15,05,single,15cm,True,170000,30000,200000,29340,100,0.1,15800,1,0,0,0,0,0,0,0,0,0,1,0,0,statue: painter 0
41,2026-06-16,01,couple,15cm,True,269000,26000,295000,74481,300,0.3,47400,2,0,0,0,0,0,0,0,0,0,0,2,0,statue: painter 0
42,2026-06-16,02,single,12cm,True,159000,10000,169000,28820,100,0.1,15800,1,0,0,0,0,0,0,1,0,0,0,0,0,statue: painter 0
43,2026-06-16,03,single,15cm,True,170000,25000,195000,29340,100,0.1,15800,1,0,0,0,0,0,0,0,0,0,1,0,0,statue: painter 0
44,2026-06-17,02,single,12cm,True,159000,36000,195000,28820,100,0.1,15800,1,0,0,0,0,0,0,1,0,0,0,0,0,statue: painter 0
45,2026-06-17,01,single,12cm,True,159000,26000,185000,28820,100,0.1,15800,1,0,0,0,0,0,0,1,0,0,0,0,0,statue: painter 0
46,2026-06-17,03,single,15cm,True,189000,25000,214000,29340,100,0.1,15800,1,0,0,0,0,0,0,0,0,0,1,0,0,statue: painter 0
47,2026-06-17,04,single,12cm,True,159000,26000,185000,28820,100,0.1,15800,1,0,0,0,0,0,0,1,0,0,0,0,0,statue: painter 0
48,2026-06-18,01,single,15cm,True,170000,30000,200000,29340,100,0.1,15800,1,0,0,0,0,0,0,0,0,0,1,0,0,statue: painter 0
49,2026-06-18,02,Single,15cm,False,204000,30000,234000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
50,2026-06-18,03,Couple,15cm,True,249000,35000,284000,74481,300,0.3,47400,2,0,0,0,0,0,0,0,0,0,0,2,0,statue: painter 0
51,2026-06-18,04,couple,15cm,False,269000,26000,295000,104481,300,0.3,47400,2,0,0,0,0,2,0,0,0,0,0,0,0,
52,2026-06-18,05,single,15cm,False,204000,35000,239000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
53,2026-06-18,06,Couple,15cm,True,250000,25000,275000,74481,300,0.3,47400,2,0,0,0,0,0,0,0,0,0,0,2,0,statue: painter 0
54,2026-06-18,07,single,15cm,False,215000,25000,240000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,
55,2026-06-19,01,single & family,12cm,False,488000,26000,514000,193201,640,0.64,101120,4,1,0,3,0,0,0,0,0,0,0,0,0,family 3 figur default
56,2026-06-19,02,single & family,15cm,False,573000,26000,599000,195282,640,0.64,101120,4,0,0,0,1,0,3,0,0,0,0,0,0,family 3 figur
57,2026-06-19,03,single & family,15cm,False,204000,30000,234000,39340,100,0.1,15800,1,0,0,0,1,0,0,0,0,0,0,0,0,jenis family tapi harga single; family 0
